time: 2000000000
329 16 1
329 17 1
329 18 1
329 19 1
329 20 1
330 1 1
330 2 1
330 3 1
330 4 1
330 5 1
330 6 1
330 7 1
330 8 1
330 9 1
330 10 1
330 11 1
330 12 1
330 13 1
330 14 1
330 15 1
330 16 1
330 17 1
330 18 1
330 19 1
330 20 1
331 1 1
331 2 1
331 3 1
331 4 1
331 5 1
331 6 1
331 7 1
331 8 1
331 9 1
331 10 1
331 11 1
331 12 1
331 13 1
331 14 1
331 15 1
331 16 1
331 17 1
331 18 1
331 19 1
331 20 1
332 1 1
332 2 1
332 3 1
332 4 1
332 5 1
332 6 1
332 7 1
332 8 1
332 9 1
332 10 1
332 11 1
332 12 1
332 13 1
332 14 1
332 15 1
332 16 1
332 17 1
332 18 1
332 19 1
332 20 1
333 1 1
333 2 1
333 3 1
333 4 1
333 5 1
333 6 1
333 7 1
333 8 1
333 9 1
333 10 1
333 11 1
333 12 1
333 13 1
333 14 1
333 15 1
333 16 1
333 17 1
333 18 1
333 19 1
333 20 1
334 1 1
334 2 1
334 3 1
334 4 1
334 5 1
334 6 1
334 7 1
334 8 1
334 9 1
334 10 1
334 11 1
334 12 1
334 13 1
334 14 1
334 15 1
334 16 1
334 17 1
334 18 1
334 19 1
334 20 1
335 1 1
335 2 1
335 3 1
335 4 1
335 5 1
335 6 1
335 7 1
335 8 1
335 9 1
335 10 1
335 11 1
335 12 1
335 13 1
335 14 1
335 15 1
335 16 1
335 17 1
335 18 1
335 19 1
335 20 1
336 1 1
336 2 1
336 3 1
336 4 1
336 5 1
336 6 1
336 7 1
336 8 1
336 9 1
336 10 1
336 11 1
336 12 1
336 13 1
336 14 1
336 15 1
336 16 1
336 17 1
336 18 1
336 19 1
336 20 1
337 1 1
337 2 1
337 3 1
337 4 1
337 5 1
337 6 1
337 7 1
337 8 1
337 9 1
337 10 1
337 11 1
337 12 1
337 13 1
337 14 1
337 15 1
337 16 1
337 17 1
337 18 1
337 19 1
337 20 1
338 1 1
338 2 1
338 3 1
338 4 1
338 5 1
338 6 1
338 7 1
338 8 1
338 9 1
338 10 1
338 11 1
338 12 1
338 13 1
338 14 1
338 15 1
338 16 1
338 17 1
338 18 1
338 19 1
338 20 1
339 1 1
339 2 1
339 3 1
339 4 1
339 5 1
339 6 1
339 7 1
339 8 1
339 9 1
339 10 1
339 11 1
339 12 1
339 13 1
339 14 1
339 15 1
339 16 1
339 17 1
339 18 1
339 19 1
339 20 1
340 1 1
340 2 1
340 3 1
340 4 1
340 5 1
340 6 1
340 7 1
340 8 1
341 1 1
341 2 1
341 3 1
341 4 1
341 5 1
341 6 1
341 7 1
341 8 1
342 1 1
342 2 1
342 3 1
342 4 1
342 5 1
342 6 1
342 7 1
342 8 1
343 1 1
343 2 1
343 3 1
343 4 1
343 5 1
343 6 1
343 7 1
343 8 1
344 1 1
344 2 1
344 3 1
344 4 1
344 5 1
344 6 1
344 7 1
344 8 1
345 1 1
345 2 1
345 3 1
345 4 1
345 5 1
345 6 1
345 7 1
345 8 1
346 1 1
346 2 1
346 3 1
346 4 1
346 5 1
346 6 1
346 7 1
346 8 1
347 1 1
347 2 1
347 3 1
347 4 1
347 5 1
347 6 1
347 7 1
347 8 1
348 1 1
348 2 1
348 3 1
348 4 1
348 5 1
348 6 1
348 7 1
348 8 1
349 1 1
349 2 1
349 3 1
349 4 1
349 5 1
349 6 1
349 7 1
349 8 1
350 1 1
350 2 1
350 3 1
350 4 1
350 5 1
350 6 1
350 7 1
350 8 1
351 1 1
351 2 1
351 3 1
351 4 1
351 5 1
351 6 1
351 7 1
351 8 1
352 1 1
352 2 1
352 3 1
352 4 1
352 5 1
352 6 1
352 7 1
352 8 1
353 1 1
353 2 1
353 3 1
353 4 1
353 5 1
353 6 1
353 7 1
353 8 1
354 1 1
354 2 1
354 3 1
354 4 1
354 5 1
354 6 1
354 7 1
354 8 1
355 1 1
355 2 1
355 3 1
355 4 1
355 5 1
355 6 1
355 7 1
355 8 1
356 1 1
356 2 1
356 3 1
356 4 1
356 5 1
356 6 1
356 7 1
356 8 1
357 1 1
357 2 1
357 3 1
357 4 1
357 5 1
357 6 1
357 7 1
357 8 1
358 1 1
358 2 1
358 3 1
358 4 1
358 5 1
358 6 1
358 7 1
358 8 1
359 1 1
359 2 1
359 3 1
359 4 1
359 5 1
359 6 1
359 7 1
359 8 1
360 1 1
360 2 1
360 3 1
360 4 1
360 5 1
361 1 1
361 2 1
361 3 1
361 4 1
361 5 1
362 1 1
362 2 1
362 3 1
362 4 1
362 5 1
363 1 1
363 2 1
363 3 1
363 4 1
363 5 1
364 1 1
364 2 1
364 3 1
364 4 1
364 5 1
365 1 1
365 2 1
365 3 1
365 4 1
365 5 1
366 1 1
366 2 1
366 3 1
366 4 1
366 5 1
367 1 1
367 2 1
367 3 1
367 4 1
367 5 1
368 1 1
368 2 1
368 3 1
368 4 1
368 5 1
369 1 1
369 2 1
369 3 1
369 4 1
369 5 1
370 1 1
370 2 1
370 3 1
370 4 1
370 5 1
371 1 1
371 2 1
371 3 1
371 4 1
371 5 1
372 1 1
372 2 1
372 3 1
372 4 1
372 5 1
373 1 1
373 2 1
373 3 1
373 4 1
373 5 1
374 1 1
374 2 1
374 3 1
374 4 1
374 5 1
375 1 1
375 2 1
375 3 1
375 4 1
375 5 1
time: 2100000000
320 1 1000001
320 2 897221 89769 413 328 328 318 294 282 314 232 247 265 0 239 265 256 233 233 247 260 239 246 249 263 0 260 285 272 224 256 263 246 239 246 223 272 0 268 287 223 193 166 172 206 187 199 210 232 0 243 222 196 169 115 84 76 99 104 84 43 0 48 53 59 57 18 19 17 21 18 29 17 0 14 14 19 25 28 2 3 2 1 2 1 0 1 2 2 3 2 1 2 2 2 3 2 0 2 2 1 3 5 7 8 12 8 8 9 0 7 5 6 5 3 6 4 6 3 4 2 5 0 3 4 3 5 3 4 2 4 2 5 2 0 3 3 3 2 6 3 6 4 6 6 6 0 1
320 3 1000001
320 4 1000001
320 5 1000001
320 6 1000001
320 7 1000001
320 8 1000001
320 9 1000001
320 10 1000001
320 11 1000001
320 12 1000001
320 13 1000001
320 14 1000001
320 15 1000001
320 16 1000001
320 17 1000001
320 18 1000001
320 19 1000001
320 20 1000001
321 1 1000001
321 2 1000001
321 3 1000001
321 4 1000001
321 5 1000001
321 6 1000001
321 7 1000001
321 8 1000001
321 9 1000001
321 10 1000001
321 11 1000001
321 12 1000001
321 13 1000001
321 14 1000001
321 15 1000001
321 16 1000001
321 17 1000001
321 18 1000001
321 19 1000001
321 20 1000001
322 1 1000001
322 2 1000001
322 3 1000001
322 4 1000001
322 5 1000001
322 6 1000001
322 7 1000001
322 8 1000001
322 9 1000001
322 10 1000001
322 11 1000001
322 12 1000001
322 13 1000001
322 14 1000001
322 15 1000001
322 16 1000001
322 17 1000001
322 18 1000001
322 19 1000001
322 20 1000001
323 1 1000001
323 2 1000001
323 3 1000001
323 4 1000001
323 5 1000001
323 6 1000001
323 7 1000001
323 8 1000001
323 9 1000001
323 10 1000001
323 11 1000001
323 12 1000001
323 13 1000001
323 14 1000001
323 15 1000001
323 16 1000001
323 17 1000001
323 18 1000001
323 19 1000001
323 20 1000001
324 1 1000001
324 2 1000001
324 3 1000001
324 4 1000001
324 5 1000001
324 6 1000001
324 7 1000001
324 8 1000001
324 9 1000001
324 10 1000001
324 11 1000001
324 12 1000001
324 13 1000001
324 14 1000001
324 15 1000001
324 16 1000001
324 17 1000001
324 18 1000001
324 19 1000001
324 20 1000001
325 1 1000001
325 2 1000001
325 3 1000001
325 4 1000001
325 5 1000001
325 6 1000001
325 7 1000001
325 8 1000001
325 9 1000001
325 10 1000001
325 11 1000001
325 12 1000001
325 13 1000001
325 14 1000001
325 15 1000001
325 16 1000001
325 17 1000001
325 18 1000001
325 19 1000001
325 20 1000001
326 1 1000001
326 2 1000001
326 3 1000001
326 4 1000001
326 5 1000001
326 6 1000001
326 7 1000001
326 8 1000001
326 9 1000001
326 10 1000001
326 11 1000001
326 12 1000001
326 13 1000001
326 14 1000001
326 15 1000001
326 16 1000001
326 17 1000001
326 18 1000001
326 19 1000001
326 20 1000001
327 1 1000001
327 2 1000001
327 3 1000001
327 4 1000001
327 5 1000001
327 6 1000001
327 7 1000001
327 8 1000001
327 9 1000001
327 10 1000001
327 11 1000001
327 12 1000001
327 13 1000001
327 14 1000001
327 15 1000001
327 16 1000001
327 17 1000001
327 18 1000001
327 19 1000001
327 20 1000001
328 1 1000001
328 2 1000001
328 3 1000001
328 4 1000001
328 5 1000001
328 6 1000001
328 7 1000001
328 8 1000001
328 9 1000001
328 10 1000001
328 11 1000001
328 12 1000001
328 13 1000001
328 14 1000001
328 15 1000001
328 16 1000001
328 17 1000001
328 18 1000001
328 19 1000001
328 20 1000001
329 1 1000001
329 2 1000001
329 3 1000001
329 4 1000001
329 5 1000001
329 6 1000001
329 7 1000001
329 8 1000001
329 9 1000001
329 10 1000001
329 11 1000001
329 12 1000001
329 13 1000001
329 14 1000001
329 15 1000001
329 16 1000001
329 17 1000001
329 18 1000001
329 19 1000001
329 20 1000001
330 1 1000001
330 2 1000001
330 3 1000001
330 4 1000001
330 5 1000001
330 6 1000001
330 7 1000001
330 8 1000001
330 9 1000001
330 10 1000001
330 11 1000001
330 12 1000001
330 13 1000001
330 14 1000001
330 15 1000001
330 16 1000001
330 17 1000001
330 18 1000001
330 19 1000001
330 20 1000001
331 1 1000001
331 2 1000001
331 3 1000001
331 4 1000001
331 5 1000001
331 6 1000001
331 7 1000001
331 8 1000001
331 9 1000001
331 10 1000001
331 11 1000001
331 12 1000001
331 13 1000001
331 14 1000001
331 15 1000001
331 16 1000001
331 17 1000001
331 18 1000001
331 19 1000001
331 20 1000001
332 1 1000001
332 2 1000001
332 3 1000001
332 4 1000001
332 5 1000001
332 6 1000001
332 7 1000001
332 8 1000001
332 9 1000001
332 10 1000001
332 11 1000001
332 12 1000001
332 13 1000001
332 14 1000001
332 15 1000001
332 16 1000001
332 17 1000001
332 18 1000001
332 19 1000001
332 20 1000001
333 1 1000001
333 2 1000001
333 3 1000001
333 4 1000001
333 5 1000001
333 6 1000001
333 7 1000001
333 8 1000001
333 9 1000001
333 10 1000001
333 11 1000001
333 12 1000001
333 13 1000001
333 14 1000001
333 15 1000001
333 16 1000001
333 17 1000001
333 18 1000001
333 19 1000001
333 20 1000001
334 1 1000001
334 2 1000001
334 3 1000001
334 4 1000001
334 5 1000001
334 6 1000001
334 7 1000001
334 8 1000001
334 9 1000001
334 10 1000001
334 11 1000001
334 12 1000001
334 13 1000001
334 14 1000001
334 15 1000001
334 16 1000001
334 17 1000001
334 18 1000001
334 19 1000001
334 20 1000001
335 1 1000001
335 2 1000001
335 3 1000001
335 4 1000001
335 5 1000001
335 6 1000001
335 7 1000001
335 8 1000001
335 9 1000001
335 10 1000001
335 11 1000001
335 12 1000001
335 13 1000001
335 14 1000001
335 15 1000001
335 16 1000001
335 17 1000001
335 18 1000001
335 19 1000001
335 20 1000001
336 1 1000001
336 2 1000001
336 3 1000001
336 4 1000001
336 5 1000001
336 6 1000001
336 7 1000001
336 8 1000001
336 9 1000001
336 10 1000001
336 11 1000001
336 12 1000001
336 13 1000001
336 14 1000001
336 15 1000001
336 16 1000001
336 17 1000001
336 18 1000001
336 19 1000001
336 20 1000001
337 1 1000001
337 2 1000001
337 3 1000001
337 4 1000001
337 5 1000001
337 6 1000001
337 7 1000001
337 8 1000001
337 9 1000001
337 10 1000001
337 11 1000001
337 12 1000001
337 13 1000001
337 14 1000001
337 15 1000001
337 16 1000001
337 17 1000001
337 18 1000001
337 19 1000001
337 20 1000001
338 1 1000001
338 2 1000001
338 3 1000001
338 4 1000001
338 5 1000001
338 6 1000001
338 7 1000001
338 8 1000001
338 9 1000001
338 10 1000001
338 11 1000001
338 12 1000001
338 13 1000001
338 14 1000001
338 15 1000001
338 16 1000001
338 17 1000001
338 18 1000001
338 19 1000001
338 20 1000001
339 1 1000001
339 2 1000001
339 3 1000001
339 4 1000001
339 5 1000001
339 6 1000001
339 7 1000001
339 8 1000001
339 9 1000001
339 10 1000001
339 11 1000001
339 12 1000001
339 13 1000001
339 14 1000001
339 15 1000001
339 16 1000001
339 17 1000001
339 18 1000001
339 19 1000001
339 20 1000001
340 1 1000001
340 2 1000001
340 3 1000001
340 4 1000001
340 5 1000001
340 6 1000001
340 7 1000001
340 8 1000001
341 1 1000001
341 2 1000001
341 3 1000001
341 4 1000001
341 5 1000001
341 6 1000001
341 7 1000001
341 8 1000001
342 1 1000001
342 2 1000001
342 3 1000001
342 4 1000001
342 5 1000001
342 6 1000001
342 7 1000001
342 8 1000001
343 1 1000001
343 2 1000001
343 3 1000001
343 4 1000001
343 5 1000001
343 6 1000001
343 7 1000001
343 8 1000001
344 1 1000001
344 2 1000001
344 3 1000001
344 4 1000001
344 5 1000001
344 6 1000001
344 7 1000001
344 8 1000001
345 1 1000001
345 2 1000001
345 3 1000001
345 4 1000001
345 5 1000001
345 6 1000001
345 7 1000001
345 8 1000001
346 1 1000001
346 2 1000001
346 3 1000001
346 4 1000001
346 5 1000001
346 6 1000001
346 7 1000001
346 8 1000001
347 1 1000001
347 2 1000001
347 3 1000001
347 4 1000001
347 5 1000001
347 6 1000001
347 7 1000001
347 8 1000001
348 1 1000001
348 2 1000001
348 3 1000001
348 4 1000001
348 5 1000001
348 6 1000001
348 7 1000001
348 8 1000001
349 1 1000001
349 2 1000001
349 3 1000001
349 4 1000001
349 5 1000001
349 6 1000001
349 7 1000001
349 8 1000001
350 1 1000001
350 2 1000001
350 3 1000001
350 4 1000001
350 5 1000001
350 6 1000001
350 7 1000001
350 8 1000001
351 1 1000001
351 2 1000001
351 3 1000001
351 4 1000001
351 5 1000001
351 6 1000001
351 7 1000001
351 8 1000001
352 1 1000001
352 2 1000001
352 3 1000001
352 4 1000001
352 5 1000001
352 6 1000001
352 7 1000001
352 8 1000001
353 1 1000001
353 2 1000001
353 3 1000001
353 4 1000001
353 5 1000001
353 6 1000001
353 7 1000001
353 8 1000001
354 1 1000001
354 2 1000001
354 3 1000001
354 4 1000001
354 5 1000001
354 6 1000001
354 7 1000001
354 8 1000001
355 1 1000001
355 2 1000001
355 3 1000001
355 4 1000001
355 5 1000001
355 6 1000001
355 7 1000001
355 8 1000001
356 1 1000001
356 2 1000001
356 3 1000001
356 4 1000001
356 5 1000001
356 6 1000001
356 7 1000001
356 8 1000001
357 1 1000001
357 2 1000001
357 3 1000001
357 4 1000001
357 5 1000001
357 6 1000001
357 7 1000001
357 8 1000001
358 1 1000001
358 2 1000001
358 3 1000001
358 4 1000001
358 5 1000001
358 6 1000001
358 7 1000001
358 8 1000001
359 1 1000001
359 2 1000001
359 3 1000001
359 4 1000001
359 5 1000001
359 6 1000001
359 7 1000001
359 8 1000001
360 1 1000001
360 2 1000001
360 3 1000001
360 4 1000001
360 5 1000001
361 1 1000001
361 2 1000001
361 3 1000001
361 4 1000001
361 5 1000001
362 1 1000001
362 2 1000001
362 3 1000001
362 4 1000001
362 5 1000001
363 1 1000001
363 2 1000001
363 3 1000001
363 4 1000001
363 5 1000001
364 1 1000001
364 2 1000001
364 3 1000001
364 4 1000001
364 5 1000001
365 1 1000001
365 2 1000001
365 3 1000001
365 4 1000001
365 5 1000001
366 1 1000001
366 2 1000001
366 3 1000001
366 4 1000001
366 5 1000001
367 1 1000001
367 2 1000001
367 3 1000001
367 4 1000001
367 5 1000001
368 1 1000001
368 2 1000001
368 3 1000001
368 4 1000001
368 5 1000001
369 1 1000001
369 2 1000001
369 3 1000001
369 4 1000001
369 5 1000001
370 1 1000001
370 2 1000001
370 3 1000001
370 4 1000001
370 5 1000001
371 1 1000001
371 2 1000001
371 3 1000001
371 4 1000001
371 5 1000001
372 1 1000001
372 2 1000001
372 3 1000001
372 4 1000001
372 5 1000001
373 1 1000001
373 2 1000001
373 3 1000001
373 4 1000001
373 5 1000001
374 1 1000001
374 2 1000001
374 3 1000001
374 4 1000001
374 5 1000001
375 1 1000001
375 2 1000001
375 3 1000001
375 4 1000001
375 5 1000001
time: 2200000000
320 1 2000001
320 2 1897221 89769 413 328 328 318 294 282 314 232 247 265 0 239 265 256 233 233 247 260 239 246 249 263 0 260 285 272 224 256 263 246 239 246 223 272 0 268 287 223 193 166 172 206 187 199 210 232 0 243 222 196 169 115 84 76 99 104 84 43 0 48 53 59 57 18 19 17 21 18 29 17 0 14 14 19 25 28 2 3 2 1 2 1 0 1 2 2 3 2 1 2 2 2 3 2 0 2 2 1 3 5 7 8 12 8 8 9 0 7 5 6 5 3 6 4 6 3 4 2 5 0 3 4 3 5 3 4 2 4 2 5 2 0 3 3 3 2 6 3 6 4 6 6 6 0 1
320 3 2000001
320 4 2000001
320 5 2000001
320 6 2000001
320 7 2000001
320 8 2000001
320 9 2000001
320 10 2000001
320 11 2000001
320 12 2000001
320 13 2000001
320 14 2000001
320 15 2000001
320 16 2000001
320 17 2000001
320 18 2000001
320 19 2000001
320 20 2000001
321 1 2000001
321 2 2000001
321 3 2000001
321 4 2000001
321 5 2000001
321 6 2000001
321 7 2000001
321 8 2000001
321 9 2000001
321 10 2000001
321 11 2000001
321 12 2000001
321 13 2000001
321 14 2000001
321 15 2000001
321 16 2000001
321 17 2000001
321 18 2000001
321 19 2000001
321 20 2000001
322 1 2000001
322 2 2000001
322 3 2000001
322 4 2000001
322 5 2000001
322 6 2000001
322 7 2000001
322 8 2000001
322 9 2000001
322 10 2000001
322 11 2000001
322 12 2000001
322 13 2000001
322 14 2000001
322 15 2000001
322 16 2000001
322 17 2000001
322 18 2000001
322 19 2000001
322 20 2000001
323 1 2000001
323 2 2000001
323 3 2000001
323 4 2000001
323 5 2000001
323 6 2000001
323 7 2000001
323 8 2000001
323 9 2000001
323 10 2000001
323 11 2000001
323 12 2000001
323 13 2000001
323 14 2000001
323 15 2000001
323 16 2000001
323 17 2000001
323 18 2000001
323 19 2000001
323 20 2000001
324 1 2000001
324 2 2000001
324 3 2000001
324 4 2000001
324 5 2000001
324 6 2000001
324 7 2000001
324 8 2000001
324 9 2000001
324 10 2000001
324 11 2000001
324 12 2000001
324 13 2000001
324 14 2000001
324 15 2000001
324 16 2000001
324 17 2000001
324 18 2000001
324 19 2000001
324 20 2000001
325 1 2000001
325 2 2000001
325 3 2000001
325 4 2000001
325 5 2000001
325 6 2000001
325 7 2000001
325 8 2000001
325 9 2000001
325 10 2000001
325 11 2000001
325 12 2000001
325 13 2000001
325 14 2000001
325 15 2000001
325 16 2000001
325 17 2000001
325 18 2000001
325 19 2000001
325 20 2000001
326 1 2000001
326 2 2000001
326 3 2000001
326 4 2000001
326 5 2000001
326 6 2000001
326 7 2000001
326 8 2000001
326 9 2000001
326 10 2000001
326 11 2000001
326 12 2000001
326 13 2000001
326 14 2000001
326 15 2000001
326 16 2000001
326 17 2000001
326 18 2000001
326 19 2000001
326 20 2000001
327 1 2000001
327 2 2000001
327 3 2000001
327 4 2000001
327 5 2000001
327 6 2000001
327 7 2000001
327 8 2000001
327 9 2000001
327 10 2000001
327 11 2000001
327 12 2000001
327 13 2000001
327 14 2000001
327 15 2000001
327 16 2000001
327 17 2000001
327 18 2000001
327 19 2000001
327 20 2000001
328 1 2000001
328 2 2000001
328 3 2000001
328 4 2000001
328 5 2000001
328 6 2000001
328 7 2000001
328 8 2000001
328 9 2000001
328 10 2000001
328 11 2000001
328 12 2000001
328 13 2000001
328 14 2000001
328 15 2000001
328 16 2000001
328 17 2000001
328 18 2000001
328 19 2000001
328 20 2000001
329 1 2000001
329 2 2000001
329 3 2000001
329 4 2000001
329 5 2000001
329 6 2000001
329 7 2000001
329 8 2000001
329 9 2000001
329 10 2000001
329 11 2000001
329 12 2000001
329 13 2000001
329 14 2000001
329 15 2000001
329 16 2000001
329 17 2000001
329 18 2000001
329 19 2000001
329 20 2000001
330 1 2000001
330 2 2000001
330 3 2000001
330 4 2000001
330 5 2000001
330 6 2000001
330 7 2000001
330 8 2000001
330 9 2000001
330 10 2000001
330 11 2000001
330 12 2000001
330 13 2000001
330 14 2000001
330 15 2000001
330 16 2000001
330 17 2000001
330 18 2000001
330 19 2000001
330 20 2000001
331 1 2000001
331 2 2000001
331 3 2000001
331 4 2000001
331 5 2000001
331 6 2000001
331 7 2000001
331 8 2000001
331 9 2000001
331 10 2000001
331 11 2000001
331 12 2000001
331 13 2000001
331 14 2000001
331 15 2000001
331 16 2000001
331 17 2000001
331 18 2000001
331 19 2000001
331 20 2000001
332 1 2000001
332 2 2000001
332 3 2000001
332 4 2000001
332 5 2000001
332 6 2000001
332 7 2000001
332 8 2000001
332 9 2000001
332 10 2000001
332 11 2000001
332 12 2000001
332 13 2000001
332 14 2000001
332 15 2000001
332 16 2000001
332 17 2000001
332 18 2000001
332 19 2000001
332 20 2000001
333 1 2000001
333 2 2000001
333 3 2000001
333 4 2000001
333 5 2000001
333 6 2000001
333 7 2000001
333 8 2000001
333 9 2000001
333 10 2000001
333 11 2000001
333 12 2000001
333 13 2000001
333 14 2000001
333 15 2000001
333 16 2000001
333 17 2000001
333 18 2000001
333 19 2000001
333 20 2000001
334 1 2000001
334 2 2000001
334 3 2000001
334 4 2000001
334 5 2000001
334 6 2000001
334 7 2000001
334 8 2000001
334 9 2000001
334 10 2000001
334 11 2000001
334 12 2000001
334 13 2000001
334 14 2000001
334 15 2000001
334 16 2000001
334 17 2000001
334 18 2000001
334 19 2000001
334 20 2000001
335 1 2000001
335 2 2000001
335 3 2000001
335 4 2000001
335 5 2000001
335 6 2000001
335 7 2000001
335 8 2000001
335 9 2000001
335 10 2000001
335 11 2000001
335 12 2000001
335 13 2000001
335 14 2000001
335 15 2000001
335 16 2000001
335 17 2000001
335 18 2000001
335 19 2000001
335 20 2000001
336 1 2000001
336 2 2000001
336 3 2000001
336 4 2000001
336 5 2000001
336 6 2000001
336 7 2000001
336 8 2000001
336 9 2000001
336 10 2000001
336 11 2000001
336 12 2000001
336 13 2000001
336 14 2000001
336 15 2000001
336 16 2000001
336 17 2000001
336 18 2000001
336 19 2000001
336 20 2000001
337 1 2000001
337 2 2000001
337 3 2000001
337 4 2000001
337 5 2000001
337 6 2000001
337 7 2000001
337 8 2000001
337 9 2000001
337 10 2000001
337 11 2000001
337 12 2000001
337 13 2000001
337 14 2000001
337 15 2000001
337 16 2000001
337 17 2000001
337 18 2000001
337 19 2000001
337 20 2000001
338 1 2000001
338 2 2000001
338 3 2000001
338 4 2000001
338 5 2000001
338 6 2000001
338 7 2000001
338 8 2000001
338 9 2000001
338 10 2000001
338 11 2000001
338 12 2000001
338 13 2000001
338 14 2000001
338 15 2000001
338 16 2000001
338 17 2000001
338 18 2000001
338 19 2000001
338 20 2000001
339 1 2000001
339 2 2000001
339 3 2000001
339 4 2000001
339 5 2000001
339 6 2000001
339 7 2000001
339 8 2000001
339 9 2000001
339 10 2000001
339 11 2000001
339 12 2000001
339 13 2000001
339 14 2000001
339 15 2000001
339 16 2000001
339 17 2000001
339 18 2000001
339 19 2000001
339 20 2000001
340 1 2000001
340 2 2000001
340 3 2000001
340 4 2000001
340 5 2000001
340 6 2000001
340 7 2000001
340 8 2000001
341 1 2000001
341 2 2000001
341 3 2000001
341 4 2000001
341 5 2000001
341 6 2000001
341 7 2000001
341 8 2000001
342 1 2000001
342 2 2000001
342 3 2000001
342 4 2000001
342 5 2000001
342 6 2000001
342 7 2000001
342 8 2000001
343 1 2000001
343 2 2000001
343 3 2000001
343 4 2000001
343 5 2000001
343 6 2000001
343 7 2000001
343 8 2000001
344 1 2000001
344 2 2000001
344 3 2000001
344 4 2000001
344 5 2000001
344 6 2000001
344 7 2000001
344 8 2000001
345 1 2000001
345 2 2000001
345 3 2000001
345 4 2000001
345 5 2000001
345 6 2000001
345 7 2000001
345 8 2000001
346 1 2000001
346 2 2000001
346 3 2000001
346 4 2000001
346 5 2000001
346 6 2000001
346 7 2000001
346 8 2000001
347 1 2000001
347 2 2000001
347 3 2000001
347 4 2000001
347 5 2000001
347 6 2000001
347 7 2000001
347 8 2000001
348 1 2000001
348 2 2000001
348 3 2000001
348 4 2000001
348 5 2000001
348 6 2000001
348 7 2000001
348 8 2000001
349 1 2000001
349 2 2000001
349 3 2000001
349 4 2000001
349 5 2000001
349 6 2000001
349 7 2000001
349 8 2000001
350 1 2000001
350 2 2000001
350 3 2000001
350 4 2000001
350 5 2000001
350 6 2000001
350 7 2000001
350 8 2000001
351 1 2000001
351 2 2000001
351 3 2000001
351 4 2000001
351 5 2000001
351 6 2000001
351 7 2000001
351 8 2000001
352 1 2000001
352 2 2000001
352 3 2000001
352 4 2000001
352 5 2000001
352 6 2000001
352 7 2000001
352 8 2000001
353 1 2000001
353 2 2000001
353 3 2000001
353 4 2000001
353 5 2000001
353 6 2000001
353 7 2000001
353 8 2000001
354 1 2000001
354 2 2000001
354 3 2000001
354 4 2000001
354 5 2000001
354 6 2000001
354 7 2000001
354 8 2000001
355 1 2000001
355 2 2000001
355 3 2000001
355 4 2000001
355 5 2000001
355 6 2000001
355 7 2000001
355 8 2000001
356 1 2000001
356 2 2000001
356 3 2000001
356 4 2000001
356 5 2000001
356 6 2000001
356 7 2000001
356 8 2000001
357 1 2000001
357 2 2000001
357 3 2000001
357 4 2000001
357 5 2000001
357 6 2000001
357 7 2000001
357 8 2000001
358 1 2000001
358 2 2000001
358 3 2000001
358 4 2000001
358 5 2000001
358 6 2000001
358 7 2000001
358 8 2000001
